flags,instruction,category,intent,response
I,What is included in my auto insurance?,POLICY_INFO,check_coverage,"To check if you are covered for hail, please review the 'Coverage' section of your digital policy document."
B,Check status for claim #12345.,CLAIMS,check_claim_status,"To view the status of claim #10293, please visit the 'Active Claims' tab in your account."
I,Has my claim been approved yet?,CLAIMS,check_claim_status,"To view the status of claim #10293, please visit the 'Active Claims' tab in your account."
I,Does my policy cover hail?,POLICY_INFO,check_coverage,"To check if you are covered for vandalism, please review the 'Coverage' section of your digital policy document."
B,Check coverage details.,POLICY_INFO,check_coverage,"Your coverage details are listed in your policy declaration page. Generally, theft depends on specific add-ons."
B,Check payment history.,BILLING,check_payment_status,You can view your payment history and status in the 'Billing' section of your account.
I,What is included in my renters insurance?,POLICY_INFO,check_coverage,"To check if you are covered for fire, please review the 'Coverage' section of your digital policy document."
I,Does my policy cover fire?,POLICY_INFO,check_coverage,"To check if you are covered for theft, please review the 'Coverage' section of your digital policy document."
W,I had an accident and need to claim.,CLAIMS,file_claim,I can help you file a claim. Please go to the 'Claims' section in your app or call {{SUPPORT_PHONE}}.
B,Check coverage details.,POLICY_INFO,check_coverage,"To check if you are covered for vandalism, please review the 'Coverage' section of your digital policy document."
B,Pay my insurance premium.,BILLING,pay_premium,"To make a payment, log in and click 'Pay Now'."
W,Cancel subscription.,CANCELLATION,cancel_policy,"We are sorry to see you go. To cancel, please submit a written request via the 'Contact Us' form."
B,Make a payment.,BILLING,pay_premium,"To make a payment, log in and click 'Pay Now'."
I,Is claim #55443 paid out?,CLAIMS,check_claim_status,"To view the status of claim #55443, please visit the 'Active Claims' tab in your account."
B,I want to pay my bill.,BILLING,pay_premium,You can pay your premium online via the 'Billing' tab.
I,Did my payment go through?,BILLING,check_payment_status,You can view your payment history and status in the 'Billing' section of your account.
W,Cancel subscription.,CANCELLATION,cancel_policy,"We are sorry to see you go. To cancel, please submit a written request via the 'Contact Us' form."
W,I want to cancel my insurance.,CANCELLATION,cancel_policy,"We are sorry to see you go. To cancel, please submit a written request via the 'Contact Us' form."
B,File a claim for water damage.,CLAIMS,file_claim,I can help you file a claim. Please go to the 'Claims' section in your app or call {{SUPPORT_PHONE}}.
B,Check coverage details.,POLICY_INFO,check_coverage,"Your coverage details are listed in your policy declaration page. Generally, theft depends on specific add-ons."
W,I want to cancel my insurance.,CANCELLATION,cancel_policy,"We are sorry to see you go. To cancel, please submit a written request via the 'Contact Us' form."
B,Make a payment.,BILLING,pay_premium,You can pay your premium online via the 'Billing' tab.
B,Make a payment.,BILLING,pay_premium,"To make a payment, log in and click 'Pay Now'."
I,Is my bill paid?,BILLING,check_payment_status,You can view your payment history and status in the 'Billing' section of your account.
B,Stop my policy.,CANCELLATION,cancel_policy,"We are sorry to see you go. To cancel, please submit a written request via the 'Contact Us' form."
B,Pay my insurance premium.,BILLING,pay_premium,"To make a payment, log in and click 'Pay Now'."
B,File a claim for water damage.,CLAIMS,file_claim,"To file a claim for health, log in to your portal and select 'File Claim'."
I,What is the status of my claim?,CLAIMS,check_claim_status,"To view the status of claim #98765, please visit the 'Active Claims' tab in your account."
B,Check status for claim #45678.,CLAIMS,check_claim_status,"You can check your claim status on your dashboard. Currently, it takes about 3-5 business days to process."
B,Pay my insurance premium.,BILLING,pay_premium,"To make a payment, log in and click 'Pay Now'."
B,Make a payment.,BILLING,pay_premium,"To make a payment, log in and click 'Pay Now'."
B,I want to pay my bill.,BILLING,pay_premium,"To make a payment, log in and click 'Pay Now'."
I,Did my payment go through?,BILLING,check_payment_status,You can view your payment history and status in the 'Billing' section of your account.
I,Does my policy cover theft?,POLICY_INFO,check_coverage,"Your coverage details are listed in your policy declaration page. Generally, fire depends on specific add-ons."
B,Check coverage details.,POLICY_INFO,check_coverage,"Your coverage details are listed in your policy declaration page. Generally, hail depends on specific add-ons."
I,What is the status of my claim?,CLAIMS,check_claim_status,"You can check your claim status on your dashboard. Currently, it takes about 3-5 business days to process."
W,I want to cancel my insurance.,CANCELLATION,cancel_policy,"We are sorry to see you go. To cancel, please submit a written request via the 'Contact Us' form."
I,Did my payment go through?,BILLING,check_payment_status,You can view your payment history and status in the 'Billing' section of your account.
I,Is my bill paid?,BILLING,check_payment_status,You can view your payment history and status in the 'Billing' section of your account.
I,How do I submit a claim for an accident?,CLAIMS,file_claim,We are sorry to hear about the incident. You can start the claims process online at {{WEBSITE_URL}}/claims.
B,File a claim for water damage.,CLAIMS,file_claim,"To file a claim for home, log in to your portal and select 'File Claim'."
B,Stop my policy.,CANCELLATION,cancel_policy,"We are sorry to see you go. To cancel, please submit a written request via the 'Contact Us' form."
W,I had an accident and need to claim.,CLAIMS,file_claim,We are sorry to hear about the incident. You can start the claims process online at {{WEBSITE_URL}}/claims.
W,I want to cancel my insurance.,CANCELLATION,cancel_policy,"We are sorry to see you go. To cancel, please submit a written request via the 'Contact Us' form."
I,Does my policy cover fire?,POLICY_INFO,check_coverage,"To check if you are covered for fire, please review the 'Coverage' section of your digital policy document."
B,Pay my insurance premium.,BILLING,pay_premium,"To make a payment, log in and click 'Pay Now'."
I,What is included in my auto insurance?,POLICY_INFO,check_coverage,"Your coverage details are listed in your policy declaration page. Generally, fire depends on specific add-ons."
I,What is included in my auto insurance?,POLICY_INFO,check_coverage,"To check if you are covered for hail, please review the 'Coverage' section of your digital policy document."
I,Am I covered for flood?,POLICY_INFO,check_coverage,"Your coverage details are listed in your policy declaration page. Generally, theft depends on specific add-ons."
B,Check payment history.,BILLING,check_payment_status,You can view your payment history and status in the 'Billing' section of your account.
B,Pay my insurance premium.,BILLING,pay_premium,You can pay your premium online via the 'Billing' tab.
I,Am I covered for theft?,POLICY_INFO,check_coverage,"To check if you are covered for flood, please review the 'Coverage' section of your digital policy document."
